LotNo=8J208472700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StartTestDate=2023/06/06 AM 09:09:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TestTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cal,Spec,Fmodel,Rmodel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EquipmentID=AWPRF22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatorID=25370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN,Vf1,Vf2,Vr1,Ir1,Rs,Iv2,Wd2,Wp2,Hw2,Vf3,Iv3,Wd3,X,Y,Vf0,Thy1,Thy2,PEAK1,Ir2,Wp3,Purity2,Hw3,Purity3,Ir3,Vf4,Iv4,Wd4,Wp4,Purity4,HW4,Vf5,Vr2,Vr3,Ir4,Ir5,WdWp2,WdWp3,WdWp4,WPE2,WPE3,DWPE,POI2,POI3,DPOI
SN,Vf1,Vf2,Vr1,Ir1,Rs,Iv2,Wd2,Wp2,Hw2,Vf3,Iv3,Wd3,X,Y,Vf0,Thy1,Thy2,PEAK1,Ir2,Wp3,Purity2,Hw3,Purity3,Ir3,Vf4,Iv4,Wd4,Wp4,Purity4,HW4,Vf5,Vr2,Vr3,Ir4,Ir5,WdWp2,WdWp3,WdWp4,WPE2,WPE3,DWPE,POI2,POI3,DPOI
1,1.7636,2.9661,41.5,2.6329,1005.18,1207.24,444.32,447.29,19.14,2.9661,1207.24,444.32,103,103,1.5132,2.17,2.3539,1.9713,0.6303,456.24,1.9846,21.67,1.1597,0.7663,2.3539,1207.24,444.32,447.29,1.3042,20.94,2.9661,41.5,41.5,2.6329,2.6329,39.23,33.48,78.79,46.72,51.73,50.93,71.07,36.62,31.42
2,2.2343,3.4883,14.7,1.9751,947.78,1287.15,447.02,446.33,21.2,3.4883,1287.15,447.02,104,103,1.9291,2.2022,2.4443,1.5735,0.2298,441.11,0.7435,20.91,1.8641,0.7821,2.4443,1287.15,447.02,446.33,0.4522,21.38,3.4883,14.7,14.7,1.9751,1.9751,32.69,60.3,55.77,75.06,33.6,35.98,41.09,38.76,46.47
3,2.4454,3.4702,39.3,2.4855,828.96,871.3,452.06,445.18,18.12,3.4702,871.3,452.06,105,103,2.1876,1.5481,2.1382,1.8515,0.0567,459.3,1.7467,20.34,2.202,0.7618,2.1382,871.3,452.06,445.18,1.6043,20.48,3.4702,39.3,39.3,2.4855,2.4855,38.23,48.9,44.34,44.89,34.96,70.23,73.17,77.99,56.34
4,2.2923,3.4156,17.6,1.5885,1469.01,892.24,457.81,449.31,19.83,3.4156,892.24,457.81,106,103,1.567,2.3415,2.2081,1.7524,1.2816,454.25,0.3874,18.27,0.6256,2.12,2.2081,892.24,457.81,449.31,0.3562,21.84,3.4156,17.6,17.6,1.5885,1.5885,58.95,49.78,36.02,52.14,69.15,62.49,72.45,64.78,70.3
5,1.567,2.9545,35.9,0.348,1283.34,1122.58,457.06,445.17,18.23,2.9545,1122.58,457.06,107,103,2.0458,1.9301,1.8076,2.3504,0.7159,456.44,1.4967,21.98,1.7094,1.5956,1.8076,1122.58,457.06,445.17,0.1488,19.63,2.9545,35.9,35.9,0.348,0.348,75.43,61.86,52.92,42.79,55.79,67.01,37.18,35.62,46.34
6,2.4709,2.9127,41.9,1.4677,1211.86,1075.32,442.32,445.64,19.75,2.9127,1075.32,442.32,108,103,1.6855,1.5561,1.9344,1.5564,0.1277,450.99,1.5601,19.04,0.9307,2.2783,1.9344,1075.32,442.32,445.64,0.6402,20.82,2.9127,41.9,41.9,1.4677,1.4677,49.09,44.93,52.61,66.54,51.79,54.49,46.57,40.63,69.92
7,2.4169,3.3848,47.6,0.8694,866.29,1386.82,450.7,451.72,19.23,3.3848,1386.82,450.7,109,103,1.9295,1.9492,1.9382,2.0873,2.2068,450.34,1.3884,21.64,2.788,2.7276,1.9382,1386.82,450.7,451.72,0.1983,19.47,3.3848,47.6,47.6,0.8694,0.8694,47.41,55.42,63.94,46.52,78.65,38.08,36.38,68.39,45.73
8,1.81,3.2915,26.5,0.0315,863.04,1042.51,447.1,449.79,21.11,3.2915,1042.51,447.1,110,103,1.7083,2.3129,2.315,1.6598,2.2907,444.38,2.6883,19.83,0.1643,1.7568,2.315,1042.51,447.1,449.79,1.4435,19.24,3.2915,26.5,26.5,0.0315,0.0315,53.28,35.74,74.05,78.84,59.64,32.55,57.3,79.16,57.37
9,2.0114,3.4312,14.1,1.2184,926.27,1270.76,449.59,450.83,20.1,3.4312,1270.76,449.59,111,103,1.6436,2.034,2.0291,1.8628,1.3794,457.67,2.8721,18.9,1.546,1.8658,2.0291,1270.76,449.59,450.83,0.5719,20.34,3.4312,14.1,14.1,1.2184,1.2184,64.21,58.15,30.55,63.68,68.37,65.24,45.43,67.01,33.33
10,1.6831,2.9555,35.3,0.1916,986.57,1151.48,440.63,445,20.59,2.9555,1151.48,440.63,112,103,1.521,2.4597,2.2505,1.667,1.9626,441.97,2.7137,19.37,2.065,0.1902,2.2505,1151.48,440.63,445,1.2643,20.76,2.9555,35.3,35.3,0.1916,0.1916,62.33,73.43,68.24,53.72,39.71,76.31,63.16,46.93,63.72
11,1.8719,3.4168,17.7,2.9061,1221.05,1075.95,443.53,449.32,21.64,3.4168,1075.95,443.53,113,103,1.6687,1.9894,2.4685,2.0543,2.6826,450.77,2.9473,18.76,1.6208,0.0756,2.4685,1075.95,443.53,449.32,0.5073,19.42,3.4168,17.7,17.7,2.9061,2.9061,58.82,50.78,69.54,64.16,43.57,49.75,38.05,64.17,58.18
12,2.362,3.2758,25.4,1.6277,951.22,1189,443.04,449.88,19.97,3.2758,1189,443.04,114,103,1.9137,1.7161,2.4102,2.2341,2.0247,449.48,1.5579,18.26,1.3592,2.7129,2.4102,1189,443.04,449.88,2.2201,20.76,3.2758,25.4,25.4,1.6277,1.6277,75.93,71.13,46.92,37.89,33.04,47.78,60.88,40.29,72.13
13,2.429,3.1008,40.5,2.1009,1478.84,1022.58,458.46,445.48,18.49,3.1008,1022.58,458.46,115,103,2.2733,1.6222,2.3147,1.6151,1.2457,452.87,2.7724,20.9,0.2795,0.3855,2.3147,1022.58,458.46,445.48,1.1305,21.14,3.1008,40.5,40.5,2.1009,2.1009,68.27,68.65,35.51,74.88,52.26,78.8,57.64,61.98,66.77
