LotNo=8J208472300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StartTestDate=2023/06/06 AM 09:09:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TestTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cal,Spec,Fmodel,Rmodel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EquipmentID=AWPRF22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatorID=25370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN,Vf1,Vf2,Vr1,Ir1,Rs,Iv2,Wd2,Wp2,Hw2,Vf3,Iv3,Wd3,X,Y,Vf0,Thy1,Thy2,PEAK1,Ir2,Wp3,Purity2,Hw3,Purity3,Ir3,Vf4,Iv4,Wd4,Wp4,Purity4,HW4,Vf5,Vr2,Vr3,Ir4,Ir5,WdWp2,WdWp3,WdWp4,WPE2,WPE3,DWPE,POI2,POI3,DPOI
SN,Vf1,Vf2,Vr1,Ir1,Rs,Iv2,Wd2,Wp2,Hw2,Vf3,Iv3,Wd3,X,Y,Vf0,Thy1,Thy2,PEAK1,Ir2,Wp3,Purity2,Hw3,Purity3,Ir3,Vf4,Iv4,Wd4,Wp4,Purity4,HW4,Vf5,Vr2,Vr3,Ir4,Ir5,WdWp2,WdWp3,WdWp4,WPE2,WPE3,DWPE,POI2,POI3,DPOI
1,2.2443,3.2286,22.3,0.2339,1423.31,987.42,452.58,440.48,19.31,3.2286,987.42,452.58,103,103,2.0413,2.0932,2.253,2.4065,2.0128,442.25,2.8001,21.71,0.0366,0.878,2.253,987.42,452.58,440.48,0.3946,21.46,3.2286,22.3,22.3,0.2339,0.2339,32.55,56.58,54.27,63.44,53.59,45,30.83,78.14,45.87
2,1.6447,2.9708,15.5,1.8112,1318.06,1057.43,443.33,452.64,20.92,2.9708,1057.43,443.33,104,103,2.3632,2.3852,1.8225,1.6974,1.0264,455.7,0.7038,20.33,0.5543,2.679,1.8225,1057.43,443.33,452.64,1.4691,19.23,2.9708,15.5,15.5,1.8112,1.8112,35.39,32.18,43.87,52.76,60.05,42.64,55.04,50.09,71.04
3,1.7637,3.0852,45.7,0.2101,1157.46,800.64,449.23,450.23,18.56,3.0852,800.64,449.23,105,103,2.3982,2.0538,1.8169,2.2284,0.3167,457.13,2.0999,21.54,2.879,0.0579,1.8169,800.64,449.23,450.23,2.8285,20.1,3.0852,45.7,45.7,0.2101,0.2101,77.99,71.04,38.69,74.56,61.72,49.57,53.95,50.25,60.95
4,2.1375,3.1811,15.1,2.5074,934.7,905.58,454.09,443.17,20.97,3.1811,905.58,454.09,106,103,1.7911,1.6949,2.1447,1.5645,0.9895,459.94,0.8998,21.69,1.5589,2.7515,2.1447,905.58,454.09,443.17,2.3572,18.21,3.1811,15.1,15.1,2.5074,2.5074,75.75,37.45,36,39.66,67.04,38.73,37.41,52.49,55.9
5,2.1628,3.2705,21.8,1.0193,1343.67,1202.38,440.05,453.19,21.79,3.2705,1202.38,440.05,107,103,1.637,1.7897,2.4734,1.538,0.2532,450.61,0.9165,21.2,0.0925,1.216,2.4734,1202.38,440.05,453.19,1.5921,18.43,3.2705,21.8,21.8,1.0193,1.0193,57.03,68.41,39.5,62.77,75.87,71.76,76.4,30.59,61.69
6,2.0358,3.4396,29.5,0.022,1044.82,1300.19,443.48,455.11,19.01,3.4396,1300.19,443.48,108,103,2.0079,2.0609,2.1954,2.1844,2.4542,445.04,2.9691,19.28,0.0441,2.0256,2.1954,1300.19,443.48,455.11,0.0989,19.24,3.4396,29.5,29.5,0.022,0.022,72.29,36.59,68.09,77.76,49.16,72.28,35.75,32.22,47.73
7,2.3149,3.0513,32.7,1.2929,1429.15,1001.86,450.49,455.92,20.59,3.0513,1001.86,450.49,109,103,2.2802,1.9634,1.7131,2.0411,0.2966,449.43,2.1396,21.62,2.6879,1.8806,1.7131,1001.86,450.49,455.92,1.8105,18.98,3.0513,32.7,32.7,1.2929,1.2929,79.58,32.28,79.12,56.15,37.02,33.92,58.04,56.03,70.72
8,1.6932,2.8813,19.4,0.4593,1228.35,815.12,447.12,453.16,19.84,2.8813,815.12,447.12,110,103,2.1818,2.3649,1.7069,2.1816,2.084,449.92,2.3368,19.41,1.397,2.944,1.7069,815.12,447.12,453.16,0.1271,20.45,2.8813,19.4,19.4,0.4593,0.4593,57.79,33.64,35.89,57.14,62.53,55.82,59.86,50.94,62.65
9,1.5187,3.4175,29.5,0.7671,933.55,1164.91,449.63,449.69,20.25,3.4175,1164.91,449.63,111,103,1.639,2.3992,1.9806,2.0496,0.2621,456.15,0.654,21.65,1.4935,1.4032,1.9806,1164.91,449.63,449.69,0.7758,21.15,3.4175,29.5,29.5,0.7671,0.7671,68.42,71.2,35.05,43.8,58.83,32.14,44.4,39.11,36.51
10,2.2623,3.0302,50,1.9836,911.52,1450.34,456.23,454.18,20.93,3.0302,1450.34,456.23,112,103,1.7325,1.5134,1.794,1.63,2.9173,452.08,1.8413,19.67,2.9847,0.3787,1.794,1450.34,456.23,454.18,0.1198,21.77,3.0302,50,50,1.9836,1.9836,49.43,60.81,58.81,43.77,49.09,51.03,37.8,71.87,45.55
11,2.1717,3.375,24.5,1.5238,1162.2,810.93,447.27,458.1,19.44,3.375,810.93,447.27,113,103,1.868,1.6182,1.5321,2.033,0.6387,459.12,2.6452,19.35,1.4341,0.8175,1.5321,810.93,447.27,458.1,0.019,20.09,3.375,24.5,24.5,1.5238,1.5238,49.67,41.04,56.98,33.8,70.63,54.42,72.9,72.34,44.67
12,1.6616,3.0876,49,0.0913,1269.75,1083.69,445.58,446.23,18.87,3.0876,1083.69,445.58,114,103,1.5782,2.4472,1.5629,2.384,0.3391,456.62,0.1299,21.09,2.822,0.0694,1.5629,1083.69,445.58,446.23,1.8692,18.33,3.0876,49,49,0.0913,0.0913,31.87,54.14,45.9,66.18,43.68,39.4,56.65,68.91,56.17
13,2.1445,3.3986,20.4,2.8294,1328.08,824.79,453.9,448.51,19.11,3.3986,824.79,453.9,115,103,1.994,2.4953,1.891,1.6265,1.5926,456.37,2.5105,20.37,0.1381,1.7447,1.891,824.79,453.9,448.51,0.4106,19.9,3.3986,20.4,20.4,2.8294,2.8294,60.61,33.01,78.3,40.53,35.09,37.46,77.68,59.03,57.32
14,1.8725,3.3923,27.1,2.1334,1332.17,1016.56,459.16,459.31,18.94,3.3923,1016.56,459.16,116,103,1.9427,2.4171,1.6601,2.0719,2.2287,449.46,2.8856,21.09,0.0347,0.9092,1.6601,1016.56,459.16,459.31,0.2067,21.07,3.3923,27.1,27.1,2.1334,2.1334,30.09,69.29,47.38,63.34,76.39,55.59,43.5,74.22,47.29
15,1.7381,3.3212,11.4,1.8818,1103.84,935.21,445.47,443.15,21.85,3.3212,935.21,445.47,117,103,2.4971,2.0803,2.4622,2.0755,2.5695,448.78,2.6709,19.51,1.7255,1.4367,2.4622,935.21,445.47,443.15,1.0929,19.22,3.3212,11.4,11.4,1.8818,1.8818,46.25,32.53,35.1,39.42,57.03,36.2,63.72,49.17,32.87
16,1.792,3.1924,23.9,1.1358,1295.9,1184.79,448.69,451.13,18.87,3.1924,1184.79,448.69,118,103,1.8888,2.0532,2.3303,2.0827,1.1874,442.32,0.2216,20.45,0.5771,0.0847,2.3303,1184.79,448.69,451.13,2.8863,20.67,3.1924,23.9,23.9,1.1358,1.1358,78.35,68.38,66.67,78.47,47.33,50.52,33.11,59.76,61.6
17,1.6271,2.8964,15.8,1.7659,1486.62,1426.5,446.31,455.93,18.32,2.8964,1426.5,446.31,119,103,2.4939,2.2729,2.1589,2.2682,2.8483,458.12,0.9926,19.17,0.5722,0.2285,2.1589,1426.5,446.31,455.93,0.7545,18.72,2.8964,15.8,15.8,1.7659,1.7659,63.68,74.27,31.63,39.31,49.61,45.78,48.77,60.37,55.53
18,1.9307,2.9894,12.1,2.2871,1152.96,1170.2,440.91,448.69,20.09,2.9894,1170.2,440.91,120,103,2.2996,1.5296,1.7538,2.3774,0.7891,455.06,2.2326,21.48,2.6028,1.3097,1.7538,1170.2,440.91,448.69,1.7075,20.47,2.9894,12.1,12.1,2.2871,2.2871,47.79,44.24,47.5,47.22,76.06,73.96,59.35,71.18,62.38
19,2.343,3.1973,38.4,2.8016,1322.8,1138.66,458.51,454.16,18.97,3.1973,1138.66,458.51,121,103,1.6776,2.0542,1.883,1.5379,0.9246,459.11,2.0181,20.48,2.6275,1.1113,1.883,1138.66,458.51,454.16,1.6434,21.47,3.1973,38.4,38.4,2.8016,2.8016,60.21,38.52,53.27,78.93,45.1,62.04,41.32,59.11,37.8
20,1.5433,3.0664,21.6,0.6473,1400.58,1330.43,446.62,441.08,21.05,3.0664,1330.43,446.62,122,103,1.7607,1.6617,2.1491,1.5355,0.0703,452.32,2.8117,19.38,0.6321,0.0958,2.1491,1330.43,446.62,441.08,2.6267,19.31,3.0664,21.6,21.6,0.6473,0.6473,38.43,72.6,77.33,42.42,41.87,40.67,43.24,46.36,62.49
21,2.4937,3.2781,20.2,1.068,802.46,1320.05,459.26,447.65,18.71,3.2781,1320.05,459.26,123,103,1.9277,2.308,1.7981,1.9821,1.5752,443.74,2.7471,19.31,2.2868,2.5743,1.7981,1320.05,459.26,447.65,2.2552,20.19,3.2781,20.2,20.2,1.068,1.068,38.11,60.7,63.84,44.22,77.74,45.18,76.75,75.2,57.15
22,2.4817,3.3606,22.7,1.8563,1158.49,1132.91,455.24,443.02,19.43,3.3606,1132.91,455.24,124,103,2.4591,1.8153,2.1419,2.1983,2.6068,458.18,0.2918,18.25,2.1635,0.4954,2.1419,1132.91,455.24,443.02,2.7683,19.86,3.3606,22.7,22.7,1.8563,1.8563,77.71,75.39,45.95,32.69,35.35,54.49,40.23,32.47,52.09
23,2.2177,2.9982,33.7,2.1392,1137.05,1230.85,445.68,450.45,18.5,2.9982,1230.85,445.68,125,103,2.2519,2.2718,2.0209,1.6387,1.7491,452.5,0.6364,18.27,2.3354,0.1332,2.0209,1230.85,445.68,450.45,2.8389,20.08,2.9982,33.7,33.7,2.1392,2.1392,63.2,63.94,78.43,63.3,45.27,71.55,34.21,65.26,79.57
24,2.3041,2.9827,16.8,1.7812,953.78,1101.33,451.59,441.53,21.63,2.9827,1101.33,451.59,126,103,2.4087,1.9356,1.8671,1.5463,2.101,459.84,1.0192,20.15,2.6841,0.8208,1.8671,1101.33,451.59,441.53,1.0845,18.9,2.9827,16.8,16.8,1.7812,1.7812,51.96,73.82,75.28,55.04,58.27,37.87,69.49,49.31,65.5
25,1.6344,3.4363,20.6,0.0318,1262.94,889.26,458.87,441.27,18.31,3.4363,889.26,458.87,127,103,1.7259,1.5099,2.0863,2.3848,1.1851,455.7,2.4154,19.59,1.9132,0.7819,2.0863,889.26,458.87,441.27,1.7722,18,3.4363,20.6,20.6,0.0318,0.0318,39.6,79.56,65.57,61.67,73.73,31.23,45.79,63.52,71.86
26,2.0228,3.0582,34.7,0.2648,945.48,1456.55,458.67,451.33,21.17,3.0582,1456.55,458.67,128,103,1.8249,2.4376,1.7333,1.622,0.2936,442.79,2.5834,19.24,2.7199,2.1827,1.7333,1456.55,458.67,451.33,2.0107,18.54,3.0582,34.7,34.7,0.2648,0.2648,74.84,67.97,53.97,39.65,64.45,78.17,61.38,74.11,75.89
27,1.8801,3.3942,22.6,0.546,1259.6,943.82,442.94,442.31,21.43,3.3942,943.82,442.94,129,103,1.8618,1.5358,1.8065,1.5517,2.7676,452.8,0.9597,21.21,0.9866,1.3232,1.8065,943.82,442.94,442.31,2.3291,19.88,3.3942,22.6,22.6,0.546,0.546,75.58,79.22,41.58,68.91,36.4,70.92,75.51,46.19,30.38
28,1.6684,2.8105,47.6,0.6843,820.51,1461.2,447.99,448.27,18.27,2.8105,1461.2,447.99,130,103,2.2391,2.4205,1.7563,2.4912,2.5124,444.48,2.0869,21.59,2.7791,2.7652,1.7563,1461.2,447.99,448.27,0.5111,18.36,2.8105,47.6,47.6,0.6843,0.6843,77.84,49.34,44.79,31.2,42.52,34.53,54.39,52.66,73.76
29,1.8936,3.0389,43.4,1.925,980.71,1149.93,446.37,454.07,21.39,3.0389,1149.93,446.37,131,103,2.4916,1.812,2.1406,2.0875,2.4762,447.2,1.7184,18.45,2.3272,2.7136,2.1406,1149.93,446.37,454.07,2.752,20.49,3.0389,43.4,43.4,1.925,1.925,47.94,65.72,48.69,76.12,68.47,78.94,65.34,60.36,74.58
30,2.1838,3.2848,46.6,0.6232,1378.5,1230.43,452.79,452.68,18.68,3.2848,1230.43,452.79,132,103,2.4152,2.2396,2.2064,1.9352,0.8444,449.69,0.1367,21.82,2.2776,2.6251,2.2064,1230.43,452.79,452.68,2.2276,18.49,3.2848,46.6,46.6,0.6232,0.6232,76.33,39.18,46.69,36.11,31.1,43.43,70.92,46.27,33.01
31,2.1249,2.9268,20.3,2.543,1374.95,954.46,447.62,448.96,21.44,2.9268,954.46,447.62,133,103,2.2444,2.1883,2.4528,1.6899,2.1865,441.65,0.0798,20.09,0.651,2.5373,2.4528,954.46,447.62,448.96,1.4098,19.25,2.9268,20.3,20.3,2.543,2.543,66.55,57,79.29,71.91,38.2,61.3,30.03,32.01,48.09
32,2.0714,3.3045,22.1,2.5952,1312.2,1381.45,454.52,457.63,21.95,3.3045,1381.45,454.52,134,103,2.2904,2.1589,2.3228,2.4789,1.1096,449.08,0.205,19.81,1.8116,0.4766,2.3228,1381.45,454.52,457.63,2.8119,19.4,3.3045,22.1,22.1,2.5952,2.5952,68.73,52.18,77.39,76.47,68.99,35.78,54.52,33.21,61.22
33,1.5028,2.9298,41.3,0.4775,978.3,1400.52,444.41,447.26,19.72,2.9298,1400.52,444.41,135,103,2.48,1.5803,2.1743,1.9873,1.2259,447.47,0.9537,19.6,1.9233,0.2071,2.1743,1400.52,444.41,447.26,0.4044,21.96,2.9298,41.3,41.3,0.4775,0.4775,42.18,54.38,31.72,75.24,58.69,30.26,62.48,56.67,37.71
34,1.8546,3.5,22.5,0.4664,1069.97,1087,440.46,446.94,21.63,3.5,1087,440.46,136,103,1.9028,2.2854,1.5342,1.5147,0.6501,447.42,0.5771,19.24,2.6362,0.1044,1.5342,1087,440.46,446.94,0.5274,18.76,3.5,22.5,22.5,0.4664,0.4664,50.26,76.55,52.89,79.92,73.55,49.97,79.49,33.61,36.8
35,1.7313,3.4574,14.3,2.9674,1225.61,1402.28,456.68,448.01,21.23,3.4574,1402.28,456.68,137,103,1.7721,2.1102,1.8079,1.9298,1.0107,455.57,1.7963,20.9,1.6474,2.5813,1.8079,1402.28,456.68,448.01,0.5041,21.65,3.4574,14.3,14.3,2.9674,2.9674,61.15,37.64,66.5,79.45,33.74,30.32,44.72,49.82,33.79
